"tijd","vlaanderen_zon_kwh","vlaanderen_wind_kwh","elia_zon_kwh","elia_wind_kwh"
"2025-08-19 03:00:00+00","0","186598","0","135525"
"2025-08-19 02:00:00+00","0","196643","0","112625"
"2025-08-19 01:00:00+00","0","217715","0","164775"
"2025-08-19 00:00:00+00","0","279024","0","136425"
"2025-08-18 23:00:00+00","0","302213","0","155025"
"2025-08-18 22:00:00+00","0","357361","0","158400"
"2025-08-18 21:00:00+00","0","340043","0","188075"
"2025-08-18 20:00:00+00","0","248767","0","177425"
"2025-08-18 19:00:00+00","112246","190158","0","98600"
"2025-08-18 18:00:00+00","746937","150082","101237","109425"
"2025-08-18 17:00:00+00","1606623","134659","600319","89050"
"2025-08-18 16:00:00+00","2615827","127835","1630413.5","95400"
"2025-08-18 15:00:00+00","3466756","142030","2716582.5","27325"
"2025-08-18 14:00:00+00","3882901","142033","3491770.75","44750"
"2025-08-18 13:00:00+00","3798311","123898","3798903.25","68275"
"2025-08-18 12:00:00+00","3249219","110821","3449193","75025"
"2025-08-18 11:00:00+00","2549873","117417","2894588.25","20975"
"2025-08-18 10:00:00+00","2273548","103718","2893171.25","68850"
"2025-08-18 09:00:00+00","1816026","78324","2502326","80975"
"2025-08-18 08:00:00+00","1162044","58865","1874584.5","54575"
"2025-08-18 07:00:00+00","534255","61634","1135904.75","27325"
"2025-08-18 06:00:00+00","130625","79537","604680.75","25900"
"2025-08-18 05:00:00+00","1449","74797","228091.75","60500"
"2025-08-18 04:00:00+00","0","67879","11215.25","14750"
"2025-08-18 03:00:00+00","0","68154","0","15325"
"2025-08-18 02:00:00+00","0","76427","0","29500"
"2025-08-18 01:00:00+00","0","82002","0","64400"
"2025-08-18 00:00:00+00","0","105029","0","67050"
"2025-08-17 23:00:00+00","0","104365","0","34775"
"2025-08-17 22:00:00+00","0","100236","0","59500"
"2025-08-17 21:00:00+00","0","133102","0","62025"
"2025-08-17 20:00:00+00","0","137394","0","69750"
"2025-08-17 19:00:00+00","32071","187811","1.25","79050"
"2025-08-17 18:00:00+00","321967","177506","64763.5","60400"
"2025-08-17 17:00:00+00","890672","166159","382467.25","62550"
"2025-08-17 16:00:00+00","1710922","169180","863590.25","58550"
"2025-08-17 15:00:00+00","2759897","122843","1557215.25","28575"
"2025-08-17 14:00:00+00","3667802","74586","2314264.5","72025"
"2025-08-17 13:00:00+00","4213702","65330","3121679.25","84325"
"2025-08-17 12:00:00+00","4256771","70899","3621602","34850"
"2025-08-17 11:00:00+00","4092850","73661","3929774.75","50975"
"2025-08-17 10:00:00+00","3526862","108158","3614731.5","55025"
"2025-08-17 09:00:00+00","2791175","103559","3392264.25","103950"
"2025-08-17 08:00:00+00","2114226","55394","3121456.75","41575"
"2025-08-17 07:00:00+00","1166849","56167","2336936.75","10475"
"2025-08-17 06:00:00+00","396930","140643","1176681.5","11950"
"2025-08-17 05:00:00+00","11554","155056","267834.75","31850"
"2025-08-17 04:00:00+00","0","147435","19210.5","22900"
"2025-08-17 03:00:00+00","0","180621","0","54700"
"2025-08-17 02:00:00+00","0","236227","0","110900"
"2025-08-17 01:00:00+00","0","220563","0","64275"
"2025-08-17 00:00:00+00","0","189147","0","69900"
"2025-08-16 23:00:00+00","0","173458","0","41600"
"2025-08-16 22:00:00+00","0","223368","0","146825"
"2025-08-16 21:00:00+00","0","219034","0","126075"
"2025-08-16 20:00:00+00","41","227247","0","176325"
"2025-08-16 19:00:00+00","69089","249318","60.25","233225"
"2025-08-16 18:00:00+00","379606","277701","101939.5","162575"
"2025-08-16 17:00:00+00","707681","286470","470834","114050"
"2025-08-16 16:00:00+00","903915","281664","892755.5","202200"
"2025-08-16 15:00:00+00","909666","285241","1138320.5","151025"
"2025-08-16 14:00:00+00","1070147","248592","1440925.25","191850"
"2025-08-16 13:00:00+00","1100198","242622","1554232.75","180025"
"2025-08-16 12:00:00+00","1010290","233051","1504925.5","131425"
"2025-08-16 11:00:00+00","897385","253207","1369759","184400"
"2025-08-16 10:00:00+00","805338","231053","1239871","143025"
"2025-08-16 09:00:00+00","705167","185330","1147319.75","44400"
"2025-08-16 08:00:00+00","478884","131933","831734.25","126300"
"2025-08-16 07:00:00+00","262254","90761","626253.75","89225"
"2025-08-16 06:00:00+00","71874","102252","448625","85850"
"2025-08-16 05:00:00+00","872","113576","186023.75","56050"
"2025-08-16 04:00:00+00","0","111579","10758.5","93700"
"2025-08-16 03:00:00+00","0","134896","0","54825"
"2025-08-16 02:00:00+00","0","161151","0","60875"
"2025-08-16 01:00:00+00","0","163330","0","99025"
"2025-08-16 00:00:00+00","0","164568","0","135250"
"2025-08-15 23:00:00+00","0","172698","0","74350"
"2025-08-15 22:00:00+00","0","175252","0","97875"
"2025-08-15 21:00:00+00","0","202611","0","106300"
"2025-08-15 20:00:00+00","145","263310","0","160975"
"2025-08-15 19:00:00+00","143633","344295","306.25","128500"
"2025-08-15 18:00:00+00","766914","334192","127120","95750"
"2025-08-15 17:00:00+00","1588498","306369","635279.75","103800"
"2025-08-15 16:00:00+00","2547563","251329","1587969.25","102350"
"2025-08-15 15:00:00+00","3342785","170929","2590654.5","89175"
"2025-08-15 14:00:00+00","3945681","100292","3456588.75","82125"
"2025-08-15 13:00:00+00","4389315","45187","4070830.5","81025"
"2025-08-15 12:00:00+00","4466345","21829","4489731.25","42050"
"2025-08-15 11:00:00+00","4431650","8919","4703148.5","11300"
"2025-08-15 10:00:00+00","3887960","3778","4405685.25","3425"
"2025-08-15 09:00:00+00","3088628","2176","4001968.25","2150"
"2025-08-15 08:00:00+00","2133271","3662","3299139.25","1700"
"2025-08-15 07:00:00+00","1134084","10399","2337068.5","1900"
"2025-08-15 06:00:00+00","374878","16034","1203979.25","3200"
"2025-08-15 05:00:00+00","13177","21191","280898.25","10275"
"2025-08-15 04:00:00+00","0","47239","24480.75","15025"
"2025-08-15 03:00:00+00","0","47766","0","17725"
"2025-08-15 02:00:00+00","0","26987","0","18225"
"2025-08-15 01:00:00+00","0","27402","0","21675"
"2025-08-15 00:00:00+00","0","26947","0","29675"
"2025-08-14 23:00:00+00","0","43867","0","16175"
"2025-08-14 22:00:00+00","0","74582","0","24050"
"2025-08-14 21:00:00+00","0","76683","0","85750"
"2025-08-14 20:00:00+00","914","135656","0","68075"
"2025-08-14 19:00:00+00","116323","177587","675.25","110325"
"2025-08-14 18:00:00+00","716542","181482","129540.75","55900"
"2025-08-14 17:00:00+00","1545146","185233","624933.5","93150"
"2025-08-14 16:00:00+00","2522698","178123","1602294.25","93225"
"2025-08-14 15:00:00+00","3463030","152728","2763839.75","59025"
"2025-08-14 14:00:00+00","4098869","128912","3663267.5","52775"
"2025-08-14 13:00:00+00","4393512","107892","4174312.75","47950"
"2025-08-14 12:00:00+00","4144671","79810","4241365.25","22225"
"2025-08-14 11:00:00+00","3756559","62136","4118751","32325"
"2025-08-14 10:00:00+00","3387646","52570","3998150.75","25175"
"2025-08-14 09:00:00+00","2597616","33739","3537719.25","19350"
"2025-08-14 08:00:00+00","1595363","21886","2715919","17325"
"2025-08-14 07:00:00+00","768347","71031","1775342","38875"
"2025-08-14 06:00:00+00","208078","107114","870607.75","44650"
"2025-08-14 05:00:00+00","4506","127060","289685.75","61875"
"2025-08-14 04:00:00+00","0","75950","23763.5","19700"
"2025-08-14 03:00:00+00","0","33745","0","90750"
"2025-08-14 02:00:00+00","0","103955","0","74775"
"2025-08-14 01:00:00+00","0","230083","0","69650"
"2025-08-14 00:00:00+00","0","227862","0","100725"
"2025-08-13 23:00:00+00","0","70618","0","55000"
"2025-08-13 22:00:00+00","0","57964","0","39025"
"2025-08-13 21:00:00+00","0","44096","0","48050"
"2025-08-13 20:00:00+00","11","100855","0","30875"
"2025-08-13 19:00:00+00","83231","98488","687.5","42950"
"2025-08-13 18:00:00+00","513008","56265","125089","29000"
"2025-08-13 17:00:00+00","1042074","43828","498379.25","22900"
"2025-08-13 16:00:00+00","1845404","35563","1117287.5","6950"
"2025-08-13 15:00:00+00","2543153","51730","1941776.25","20550"
"2025-08-13 14:00:00+00","3186198","67987","2882759","27800"
"2025-08-13 13:00:00+00","4021818","61817","3620482","6975"
"2025-08-13 12:00:00+00","4526423","32898","4192998.75","24825"
"2025-08-13 11:00:00+00","4106870","23726","4296887.75","32575"
"2025-08-13 10:00:00+00","3469908","26374","4149370.5","17850"
"2025-08-13 09:00:00+00","2806428","18342","3508804.25","15450"
"2025-08-13 08:00:00+00","1719354","36102","2550055.75","12400"
"2025-08-13 07:00:00+00","868798","70082","1899614","24300"
"2025-08-13 06:00:00+00","316472","161152","1102193.75","49625"
"2025-08-13 05:00:00+00","20143","178101","306873.5","56675"
"2025-08-13 04:00:00+00","0","98175","29528","67775"
"2025-08-13 03:00:00+00","0","115088","0","78550"
"2025-08-13 02:00:00+00","0","147455","0","58250"
"2025-08-13 01:00:00+00","0","121317","0","53950"
"2025-08-13 00:00:00+00","0","67181","0","85075"
"2025-08-12 23:00:00+00","0","55607","0","52550"
"2025-08-12 22:00:00+00","0","85191","0","90350"
"2025-08-12 21:00:00+00","0","120113","0","80050"
"2025-08-12 20:00:00+00","834","118810","0","45300"
"2025-08-12 19:00:00+00","134113","50184","2091","83325"
"2025-08-12 18:00:00+00","714571","24720","142608.25","22150"
"2025-08-12 17:00:00+00","1597602","17886","651014.75","9000"
"2025-08-12 16:00:00+00","2650118","17486","1696110.75","9625"
"2025-08-12 15:00:00+00","3640219","26086","2905294.5","16325"
"2025-08-12 14:00:00+00","4347445","76611","3857388.75","14200"
"2025-08-12 13:00:00+00","4805545","100210","4518725.25","36300"
"2025-08-12 12:00:00+00","4874350","95489","4958805","12875"
"2025-08-12 11:00:00+00","4558377","74826","4998278.5","24225"
"2025-08-12 10:00:00+00","3866587","53625","4565391.25","52750"
"2025-08-12 09:00:00+00","2902612","91554","3861930","19350"
"2025-08-12 08:00:00+00","1742965","117579","2912270","48800"
"2025-08-12 07:00:00+00","829992","172847","1932097","110325"
"2025-08-12 06:00:00+00","305896","241206","1010865.5","122775"
"2025-08-12 05:00:00+00","20139","237597","318210.5","100425"
"2025-08-12 04:00:00+00","0","174339","29190.25","130100"
"2025-08-12 03:00:00+00","0","159778","0","80750"
"2025-08-12 02:00:00+00","0","260081","0","96725"
"2025-08-12 01:00:00+00","0","308964","0","96225"
"2025-08-12 00:00:00+00","0","332180","0","96450"
"2025-08-11 23:00:00+00","0","266419","0","136325"
"2025-08-11 22:00:00+00","0","331611","0","210325"
"2025-08-11 21:00:00+00","0","383193","0","114050"
"2025-08-11 20:00:00+00","524","292845","0","104300"
"2025-08-11 19:00:00+00","186518","172832","3308.75","89800"
"2025-08-11 18:00:00+00","890120","132536","150035.25","107150"
"2025-08-11 17:00:00+00","1782527","114865","693825.25","63475"
"2025-08-11 16:00:00+00","2875750","108440","1847231.5","76275"
"2025-08-11 15:00:00+00","3869057","105009","3107234","42825"
"2025-08-11 14:00:00+00","4573072","86120","4043453.5","55075"
"2025-08-11 13:00:00+00","5000859","85040","4679457.5","35025"
"2025-08-11 12:00:00+00","5061744","84995","5146461","68700"
"2025-08-11 11:00:00+00","4793962","80825","5198825","44125"
"2025-08-11 10:00:00+00","4151058","26872","4828929.25","24475"
"2025-08-11 09:00:00+00","3330404","9403","4282242.5","6425"
"2025-08-11 08:00:00+00","2275258","30275","3467293.25","7650"
"2025-08-11 07:00:00+00","1259996","129145","2495490.75","15475"
"2025-08-11 06:00:00+00","459941","160638","1329478","63075"
"2025-08-11 05:00:00+00","25370","150121","284029.25","81900"
"2025-08-11 04:00:00+00","0","151266","33330.75","66500"
"2025-08-11 03:00:00+00","0","177359","0","102050"
"2025-08-11 02:00:00+00","0","214041","0","76975"
"2025-08-11 01:00:00+00","0","277251","0","153675"
"2025-08-11 00:00:00+00","0","336891","0","130275"
"2025-08-10 23:00:00+00","0","345717","0","180500"
"2025-08-10 22:00:00+00","0","326307","0","130400"
"2025-08-10 21:00:00+00","0","256713","0","124125"
"2025-08-10 20:00:00+00","1712","208470","0","155525"
"2025-08-10 19:00:00+00","198186","167005","4282.25","146425"
"2025-08-10 18:00:00+00","873126","136855","161716","93625"
"2025-08-10 17:00:00+00","1674757","95485","706789.75","52925"
"2025-08-10 16:00:00+00","2534788","54156","1714401.5","37875"
"2025-08-10 15:00:00+00","3294978","37183","2680142","16250"
"2025-08-10 14:00:00+00","3816642","24480","3345916","18350"
"2025-08-10 13:00:00+00","4082932","19440","3757615.5","12650"
"2025-08-10 12:00:00+00","4287639","8682","4238284","6700"
"2025-08-10 11:00:00+00","4539633","6853","4718154.75","4425"
"2025-08-10 10:00:00+00","4122146","7460","4677228.5","3950"
"2025-08-10 09:00:00+00","3327373","9778","4245029.5","4775"
"2025-08-10 08:00:00+00","2277862","16471","3462771.5","3475"
"2025-08-10 07:00:00+00","1258941","58327","2504124","6125"
"2025-08-10 06:00:00+00","465989","86357","1297018","35825"
"2025-08-10 05:00:00+00","27951","94440","293010.75","58025"
"2025-08-10 04:00:00+00","0","98815","36385.75","65575"
"2025-08-10 03:00:00+00","0","123907","0","36650"
"2025-08-10 02:00:00+00","0","136813","0","62625"
"2025-08-10 01:00:00+00","0","142113","0","78250"
"2025-08-10 00:00:00+00","0","137101","0","105725"
"2025-08-09 23:00:00+00","0","149344","0","61875"
"2025-08-09 22:00:00+00","0","159177","0","88750"
"2025-08-09 21:00:00+00","0","159763","0","79950"
"2025-08-09 20:00:00+00","2589","165774","0","46950"
"2025-08-09 19:00:00+00","225111","139397","5373.5","113425"
"2025-08-09 18:00:00+00","957646","193019","177685","113425"
"2025-08-09 17:00:00+00","1865675","261865","742895","131350"
"2025-08-09 16:00:00+00","2958354","243799","1842715.25","111025"
"2025-08-09 15:00:00+00","3939375","233423","3096036","156275"
"2025-08-09 14:00:00+00","4527719","218364","3968661.75","77550"
"2025-08-09 13:00:00+00","4868140","187582","4549765.25","149650"
"2025-08-09 12:00:00+00","4824784","180337","4870968.75","37750"
"2025-08-09 11:00:00+00","4561950","162887","4880196.25","122800"
"2025-08-09 10:00:00+00","3997921","123660","4629731","27875"
"2025-08-09 09:00:00+00","3249266","77781","4264700","23275"
"2025-08-09 08:00:00+00","2002354","69513","3254499","28100"
"2025-08-09 07:00:00+00","859046","72840","1931360.25","22825"
"2025-08-09 06:00:00+00","296036","58903","937799.75","42975"
"2025-08-09 05:00:00+00","16818","48324","325918.25","21175"
"2025-08-09 04:00:00+00","0","32865","32916","27200"
"2025-08-09 03:00:00+00","0","23793","0","6850"
"2025-08-09 02:00:00+00","0","23016","0","7975"
"2025-08-09 01:00:00+00","0","20044","0","11350"
"2025-08-09 00:00:00+00","0","19145","0","10950"
"2025-08-08 23:00:00+00","0","21053","0","2900"
"2025-08-08 22:00:00+00","0","22718","0","18525"
"2025-08-08 21:00:00+00","0","31122","0","27700"
"2025-08-08 20:00:00+00","11671","33439","0","11400"
"2025-08-08 19:00:00+00","260899","45527","4476","4350"
"2025-08-08 18:00:00+00","560332","69443","174715","19200"
"2025-08-08 17:00:00+00","942027","106528","576682","22975"
"2025-08-08 16:00:00+00","1320360","95452","981356.75","68450"
"2025-08-08 15:00:00+00","1700541","124751","1408659.5","56850"
"2025-08-08 14:00:00+00","2270719","128516","2137642.75","86700"
"2025-08-08 13:00:00+00","2742815","132179","2602679.75","94625"
"2025-08-08 12:00:00+00","2533147","127574","2591526","46525"
"2025-08-08 11:00:00+00","2184055","125408","2748854.5","50225"
"2025-08-08 10:00:00+00","1888857","134817","2439515.5","118550"
"2025-08-08 09:00:00+00","1349654","151848","1825770.75","62025"
"2025-08-08 08:00:00+00","973905","157338","1503139.25","103325"
"2025-08-08 07:00:00+00","557080","138425","1083560","108275"
"2025-08-08 06:00:00+00","203607","162859","718353.75","161950"
"2025-08-08 05:00:00+00","8433","191365","322034.5","100825"
"2025-08-08 04:00:00+00","0","202318","32949","78800"
"2025-08-08 03:00:00+00","0","230386","0","118350"
"2025-08-08 02:00:00+00","0","240090","0","125200"
"2025-08-08 01:00:00+00","0","232821","0","137175"
"2025-08-08 00:00:00+00","0","238080","0","136625"
"2025-08-07 23:00:00+00","0","219969","0","93900"
"2025-08-07 22:00:00+00","0","191676","0","52075"
"2025-08-07 21:00:00+00","0","126361","0","74225"
"2025-08-07 20:00:00+00","792","82928","0","90100"
"2025-08-07 19:00:00+00","97629","110336","4559.5","88325"
"2025-08-07 18:00:00+00","453202","169376","158477.5","108400"
"2025-08-07 17:00:00+00","917147","226350","505816.5","90400"
"2025-08-07 16:00:00+00","1437790","265560","970070","53650"
"2025-08-07 15:00:00+00","2129537","272848","1753578.75","204800"
"2025-08-07 14:00:00+00","2951239","255788","2447560","152275"
"2025-08-07 13:00:00+00","3330552","269275","3140769","188950"
"2025-08-07 12:00:00+00","4050941","227256","4033053","86700"
"2025-08-07 11:00:00+00","4470380","212829","4335029","77675"
"2025-08-07 10:00:00+00","4016873","187366","4246940","168575"
"2025-08-07 09:00:00+00","3154171","130856","3778946.25","117700"
"2025-08-07 08:00:00+00","1890778","123973","2884684.5","73475"
"2025-08-07 07:00:00+00","1085869","174701","2212218.25","134450"
"2025-08-07 06:00:00+00","393620","212012","1210378","103625"
"2025-08-07 05:00:00+00","27283","189814","334118.25","149600"
"2025-08-07 04:00:00+00","0","169517","46066.5","112550"
"2025-08-07 03:00:00+00","0","189272","0","171900"
"2025-08-07 02:00:00+00","0","161794","0","96250"
"2025-08-07 01:00:00+00","0","119862","0","58275"
"2025-08-07 00:00:00+00","0","98079","0","74150"
"2025-08-06 23:00:00+00","0","77286","0","60925"
"2025-08-06 22:00:00+00","0","52894","0","35175"
"2025-08-06 21:00:00+00","0","56311","0","39775"
"2025-08-06 20:00:00+00","4921","48444","0","35575"
"2025-08-06 19:00:00+00","229146","48676","8996.5","41150"
"2025-08-06 18:00:00+00","806178","38354","196419","27525"
"2025-08-06 17:00:00+00","1466496","30060","699455.75","5925"
"2025-08-06 16:00:00+00","2366598","23182","1706491.75","17250"
"2025-08-06 15:00:00+00","3133443","29788","2635858.5","13250"
"2025-08-06 14:00:00+00","3644248","42829","3223463.25","5075"
"2025-08-06 13:00:00+00","3650222","67301","3309757.75","21750"
"2025-08-06 12:00:00+00","3568551","81584","3453086.75","36475"
"2025-08-06 11:00:00+00","3445757","77911","3533495.75","42350"
"2025-08-06 10:00:00+00","3754872","52156","3980271","39825"
"2025-08-06 09:00:00+00","3156607","31574","3834939.25","36550"
"2025-08-06 08:00:00+00","2137509","28124","3254450.5","3775"
"2025-08-06 07:00:00+00","1216380","52727","2386419.25","15850"
"2025-08-06 06:00:00+00","471964","70251","1343333.5","36425"
"2025-08-06 05:00:00+00","37957","81339","324759","31225"
"2025-08-06 04:00:00+00","0","95388","49647.25","105150"
"2025-08-06 03:00:00+00","0","142065","0","97075"
"2025-08-06 02:00:00+00","0","197274","0","60425"
"2025-08-06 01:00:00+00","0","273175","0","67575"
"2025-08-06 00:00:00+00","0","315816","0","111450"
"2025-08-05 23:00:00+00","0","335499","0","225900"
"2025-08-05 22:00:00+00","0","396335","0","96650"
"2025-08-05 21:00:00+00","0","326168","0","151025"
"2025-08-05 20:00:00+00","7918","243302","0","109900"
"2025-08-05 19:00:00+00","261063","258388","10606.25","177300"
"2025-08-05 18:00:00+00","868774","399679","226499.25","212175"
"2025-08-05 17:00:00+00","1551646","572281","791970.75","145475"
"2025-08-05 16:00:00+00","2058774","677004","1505176","161600"
"2025-08-05 15:00:00+00","2646875","620749","2233554.75","292500"
"2025-08-05 14:00:00+00","3208875","647592","2687392.25","430750"
"2025-08-05 13:00:00+00","3853453","536440","3563158.5","215750"
"2025-08-05 12:00:00+00","4024576","488145","3945016.25","206675"
"2025-08-05 11:00:00+00","3865469","469444","4184959","96750"
"2025-08-05 10:00:00+00","3384779","368602","3971072","250175"
"2025-08-05 09:00:00+00","3025510","290471","3889301","154000"
"2025-08-05 08:00:00+00","2298622","234261","3315867.75","230925"
"2025-08-05 07:00:00+00","1169905","227816","2228626.5","142050"
"2025-08-05 06:00:00+00","312450","244791","992260","50350"
"2025-08-05 05:00:00+00","8283","219562","352604.25","79850"
"2025-08-05 04:00:00+00","0","175066","47687.25","74050"
"2025-08-05 03:00:00+00","0","160662","0","102100"
"2025-08-05 02:00:00+00","0","246678","0","75675"
"2025-08-05 01:00:00+00","0","333633","0","91250"
"2025-08-05 00:00:00+00","0","420749","0","155350"
"2025-08-04 23:00:00+00","0","426592","0","179050"
"2025-08-04 22:00:00+00","0","514274","0","264825"
"2025-08-04 21:00:00+00","0","702711","0","377975"
"2025-08-04 20:00:00+00","283","699535","0","209575"
"2025-08-04 19:00:00+00","73794","647340","6491.75","542500"
"2025-08-04 18:00:00+00","431627","684636","175057.25","357725"
"2025-08-04 17:00:00+00","797566","770722","571985.75","145050"
"2025-08-04 16:00:00+00","1104116","926611","884941.75","608675"
"2025-08-04 15:00:00+00","1896900","887814","1324237","469750"
"2025-08-04 14:00:00+00","2865393","634315","2022731","235125"
"2025-08-04 13:00:00+00","3681273","545342","2747197","221800"
"2025-08-04 12:00:00+00","3831392","438266","3370714.5","203675"
"2025-08-04 11:00:00+00","3901217","397416","3363873.25","191700"
"2025-08-04 10:00:00+00","3053999","308015","3283667.25","249150"
"2025-08-04 09:00:00+00","2074842","280892","2688176","322075"
"2025-08-04 08:00:00+00","1218246","180615","1901947.25","201250"
"2025-08-04 07:00:00+00","652004","168850","1237209","140950"
"2025-08-04 06:00:00+00","227994","170735","690854.5","59675"
"2025-08-04 05:00:00+00","17074","138071","285910.5","113825"
"2025-08-04 04:00:00+00","0","147499","37000.25","118100"
"2025-08-04 03:00:00+00","0","197516","0","135250"
"2025-08-04 02:00:00+00","0","242545","0","108275"
"2025-08-04 01:00:00+00","0","248510","0","85400"
"2025-08-04 00:00:00+00","0","311327","0","145475"
"2025-08-03 23:00:00+00","0","371633","0","117625"
"2025-08-03 22:00:00+00","0","364862","0","208800"
"2025-08-03 21:00:00+00","0","419400","0","217700"
"2025-08-03 20:00:00+00","155","405642","0","84050"
"2025-08-03 19:00:00+00","48021","396724","6713","80100"
"2025-08-03 18:00:00+00","308134","481759","148099.25","196775"
"2025-08-03 17:00:00+00","1141631","429276","567673.5","87150"
"2025-08-03 16:00:00+00","2172941","458047","1206654","233475"
"2025-08-03 15:00:00+00","2866728","465571","2065732","85675"
"2025-08-03 14:00:00+00","3390703","390111","2901497.25","219675"
"2025-08-03 13:00:00+00","3583848","399772","3101389.25","218125"
"2025-08-03 12:00:00+00","3766007","419288","3360204.5","210875"
"2025-08-03 11:00:00+00","3784529","414980","3629110.5","211725"
"2025-08-03 10:00:00+00","3921547","306787","4110508.25","70100"
"2025-08-03 09:00:00+00","3460815","240060","4100808.5","207625"
"2025-08-03 08:00:00+00","2408192","216380","3534377","49900"
"2025-08-03 07:00:00+00","1328254","284593","2484053.5","52500"
"2025-08-03 06:00:00+00","481483","401727","1282309.25","102275"
"2025-08-03 05:00:00+00","32610","403680","372662.5","67750"
"2025-08-03 04:00:00+00","0","332343","64738.75","227900"
"2025-08-03 03:00:00+00","0","320482","0","173450"
"2025-08-03 02:00:00+00","0","290484","0","162575"
"2025-08-03 01:00:00+00","0","245590","0","144900"
"2025-08-03 00:00:00+00","0","185965","0","117350"
"2025-08-02 23:00:00+00","0","111105","0","81775"
"2025-08-02 22:00:00+00","0","63951","0","38650"
"2025-08-02 21:00:00+00","0","77397","0","51050"
"2025-08-02 20:00:00+00","17742","159143","0","59650"
"2025-08-02 19:00:00+00","196433","271206","14604.5","101150"
"2025-08-02 18:00:00+00","563081","356139","232934.25","90950"
"2025-08-02 17:00:00+00","1373992","429057","741560.75","165925"
"2025-08-02 16:00:00+00","2286762","331826","1581606","201850"
"2025-08-02 15:00:00+00","2554315","372924","2089321","220900"
"2025-08-02 14:00:00+00","2911287","377137","2822331.25","223025"
"2025-08-02 13:00:00+00","2774721","379621","2891329","152950"
"2025-08-02 12:00:00+00","2689118","406103","2728165","142900"
"2025-08-02 11:00:00+00","2179650","450257","2540486.25","137075"
"2025-08-02 10:00:00+00","1925129","382533","2261924","193225"
"2025-08-02 09:00:00+00","1480341","366561","1663872.25","181175"
"2025-08-02 08:00:00+00","1081510","342567","1381960.25","116375"
"2025-08-02 07:00:00+00","669894","305975","996374.5","141400"
"2025-08-02 06:00:00+00","262257","285180","576024.75","196725"
"2025-08-02 05:00:00+00","24075","325614","248537.5","215250"
"2025-08-02 04:00:00+00","0","324184","37434","239775"
"2025-08-02 03:00:00+00","0","323678","0","132775"
"2025-08-02 02:00:00+00","0","286593","0","180700"
"2025-08-02 01:00:00+00","0","262513","0","129450"
"2025-08-02 00:00:00+00","0","236478","0","152700"
"2025-08-01 23:00:00+00","0","209651","0","132550"
"2025-08-01 22:00:00+00","0","206384","0","123025"
"2025-08-01 21:00:00+00","0","233960","0","92350"
"2025-08-01 20:00:00+00","8807","309906","0","98700"
"2025-08-01 19:00:00+00","182322","399123","17269.25","109550"
"2025-08-01 18:00:00+00","579150","419093","239167.5","156125"
"2025-08-01 17:00:00+00","1215974","484394","780864","169525"
"2025-08-01 16:00:00+00","1917080","396639","1406782.75","168425"
"2025-08-01 15:00:00+00","2665658","351761","2061397.5","184875"
"2025-08-01 14:00:00+00","3307236","352268","2559454.5","137175"
"2025-08-01 13:00:00+00","3304283","467786","2646359.25","185300"
"2025-08-01 12:00:00+00","3121769","354129","2924888.5","122725"
"2025-08-01 11:00:00+00","3050040","307459","3158397","109100"
"2025-08-01 10:00:00+00","2794067","241163","2988085.25","132800"
"2025-08-01 09:00:00+00","2461882","177413","2782476","39625"
"2025-08-01 08:00:00+00","1831455","135605","2418968.5","95200"
"2025-08-01 07:00:00+00","1078312","126914","1718643.25","85225"
"2025-08-01 06:00:00+00","397362","143812","983900.5","53975"
"2025-08-01 05:00:00+00","33987","136131","402732","71650"
"2025-08-01 04:00:00+00","0","113380","66715.5","72475"
"2025-08-01 03:00:00+00","0","109928","0","72575"
"2025-08-01 02:00:00+00","0","111576","0","47150"
"2025-08-01 01:00:00+00","0","97442","0","22775"
"2025-08-01 00:00:00+00","0","112833","0","52750"
"2025-07-31 23:00:00+00","0","121030","0","59350"
"2025-07-31 22:00:00+00","0","163748","0","62575"
"2025-07-31 21:00:00+00","0","191750","0","94300"
"2025-07-31 20:00:00+00","7295","195540","0","87675"
"2025-07-31 19:00:00+00","108682","269150","9933.25","103450"
"2025-07-31 18:00:00+00","258753","310641","127521.25","156425"
"2025-07-31 17:00:00+00","369230","336911","295141.25","121000"
"2025-07-31 16:00:00+00","570992","316988","506576.25","48575"
"2025-07-31 15:00:00+00","804494","281558","724276.75","171925"
"2025-07-31 14:00:00+00","1127702","267547","882953.25","145725"
"2025-07-31 13:00:00+00","1540459","308167","1147032.25","146325"
"2025-07-31 12:00:00+00","1943815","299617","1701653.75","148050"
"2025-07-31 11:00:00+00","2292663","275145","1791777.75","99200"
"2025-07-31 10:00:00+00","2567707","212836","2486303.25","181000"
"2025-07-31 09:00:00+00","2269948","181565","2461835.25","156675"
"2025-07-31 08:00:00+00","1602088","166165","2235274.5","145525"
"2025-07-31 07:00:00+00","927805","161523","1669663","110625"
"2025-07-31 06:00:00+00","410379","205683","1025950.25","115775"
"2025-07-31 05:00:00+00","28776","240640","403411","126575"
"2025-07-31 04:00:00+00","0","269254","74766.75","175950"
"2025-07-31 03:00:00+00","0","305140","0","185250"
"2025-07-31 02:00:00+00","0","318063","0","192575"
"2025-07-31 01:00:00+00","0","282354","0","103675"
"2025-07-31 00:00:00+00","0","238627","0","104275"
"2025-07-30 23:00:00+00","0","180591","0","135650"
"2025-07-30 22:00:00+00","0","147800","0","144000"
"2025-07-30 21:00:00+00","0","116454","0","88675"
"2025-07-30 20:00:00+00","12348","97973","0","47425"
